dataset;a_iid_diff;v_iid_diff;t0_iid_diff;st0_iid_diff;a_iid_same;v_iid_same;t0_iid_same;st0_iid_same;a_rdw_diff;v_rdw_diff;t0_rdw_diff;st0_rdw_diff;a_rdw_same;v_rdw_same;t0_rdw_same;st0_rdw_same
0;0.821954;0.584067;0.383396;0.328817;0.673443;1.723739;0.429371;0.362003;1.194529;2.235086;0.349094;0.232502;0.948987;1.813989;0.383730;0.187695
1;0.891881;2.495576;0.279443;0.172396;0.921897;3.131505;0.301159;0.226277;0.980993;2.251964;0.327897;0.191559;1.547212;3.042175;0.212589;0.176465
2;1.059582;0.117006;0.346423;0.307508;1.014500;1.690006;0.272883;0.069035;1.344977;2.147012;0.221296;0.053337;1.493403;2.653525;0.180742;0.068021
3;1.030510;0.099943;0.214149;0.152291;0.952908;0.515914;0.210822;0.187530;0.806919;2.766515;0.218121;0.212418;2.142719;6.996992;0.129251;0.244359
4;1.119680;0.142000;0.308316;0.112537;1.022636;0.743081;0.300235;0.054341;0.707061;2.235512;0.310398;0.053033;1.155540;4.633450;0.220250;0.186992
5;1.540394;0.174114;0.151290;0.210157;1.111477;0.497818;0.299714;0.261564;1.187735;0.681721;0.267055;0.199187;1.512245;0.793284;0.148530;0.177390
6;1.170602;0.223888;0.366984;0.531902;1.302008;0.759596;0.244108;0.257532;1.166301;1.498107;0.320610;0.274101;1.208753;1.481054;0.216237;0.188130
7;1.073775;0.266737;0.081246;0.162476;1.092621;0.238306;0.061712;0.123366;1.144372;0.901712;0.087295;0.174486;1.188014;1.566160;0.098469;0.196925
8;0.899045;0.984374;0.140854;0.203398;0.823879;1.666070;0.181905;0.224269;0.645913;3.577157;0.275313;0.126196;0.923696;2.966419;0.201497;0.122866
9;1.029182;-0.291674;0.358430;0.259523;1.110054;0.961209;0.254179;0.090078;0.785026;1.346971;0.349380;0.166459;0.942583;1.043894;0.283373;0.126517
10;1.186088;0.926698;0.150068;0.190830;1.157172;1.106365;0.102002;0.203995;1.032985;2.271371;0.163956;0.304386;1.505819;3.198896;0.104402;0.208797
11;0.975202;0.537213;0.354141;0.307667;1.211623;0.747283;0.271757;0.073606;1.280191;1.746417;0.202620;0.214634;1.083215;2.424009;0.206548;0.300992
12;0.680668;0.053124;0.297471;0.282756;0.989505;0.747642;0.171075;0.260410;0.761354;2.905158;0.295323;0.270010;1.199157;2.764958;0.172567;0.241338
13;0.940259;0.616155;0.100360;0.200690;0.885229;0.917920;0.101269;0.202534;0.744473;1.784124;0.176584;0.255664;0.931873;2.036646;0.100849;0.201692
14;1.612856;-0.063372;0.376222;0.000272;1.371185;0.280278;0.436987;0.103349;1.373398;0.602535;0.376204;0.017018;1.381999;0.630259;0.345354;0.038017
15;1.864575;0.446319;0.102209;0.204377;1.608963;0.833712;0.150655;0.250026;1.499611;1.298999;0.234512;0.181816;1.171353;1.305543;0.282237;0.176631
16;0.878206;0.826880;0.264736;0.182260;0.740005;1.049348;0.292032;0.212634;0.766327;3.570735;0.231008;0.269028;0.956903;2.995854;0.150201;0.237304
17;1.189439;0.175382;0.275141;0.038725;0.921814;0.614814;0.321239;0.366778;0.962972;2.879359;0.251697;0.165338;0.880426;2.429462;0.233540;0.143982
18;0.875418;0.642752;0.102131;0.201364;0.824860;1.028248;0.099961;0.199907;0.904373;1.292871;0.205051;0.295673;1.006999;1.058274;0.101057;0.202074
19;0.878471;1.406798;0.329049;0.187549;0.892844;2.148280;0.323750;0.275985;1.200805;3.970172;0.276481;0.148373;1.729791;6.002781;0.237134;0.201014
20;0.834016;0.523371;0.265531;0.229476;0.725500;1.231386;0.277676;0.214864;0.937692;3.016661;0.211062;0.201594;1.226750;4.159930;0.131627;0.195969
21;1.012379;0.895238;0.092062;0.184115;1.130334;0.938364;0.042751;0.085458;1.233779;1.585683;0.139243;0.215485;1.429681;1.207080;0.021348;0.000503
22;0.985636;0.919464;0.252296;0.160540;1.068068;0.403958;0.227945;0.142529;0.936390;2.500333;0.211869;0.199164;1.279397;2.628768;0.104904;0.202524
23;0.720790;1.289941;0.104493;0.208970;0.964559;1.317469;0.096282;0.192560;0.940881;1.034064;0.076019;0.152038;0.918971;1.295061;0.097160;0.194294
24;1.083409;1.415690;0.227928;0.226754;1.131425;1.581641;0.210539;0.149442;0.751088;2.709592;0.288100;0.173367;0.885995;2.745949;0.227656;0.195080
25;0.774663;0.296939;0.321873;0.174418;0.676093;0.972336;0.325929;0.277491;0.668678;3.744794;0.259063;0.252094;1.317695;4.577739;0.155141;0.201058
26;1.153598;0.459405;0.215157;0.267606;1.163445;1.893474;0.211677;0.248671;1.182141;2.328038;0.216956;0.232337;1.543849;2.715213;0.150690;0.194811
27;0.699189;0.399583;0.275904;0.226252;0.699544;1.946626;0.257476;0.297875;0.840519;3.099658;0.247424;0.217528;0.929767;3.076786;0.200514;0.288237
